Date,Extension,Number of Files Created,File Size in B,File Size in KB,File Size in MB,File Type,File Format,,,,,
1983-10-01,.shx,2,21248,21.248,0.021,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1991-02-18,.SHX,4,10844,10.844,0.011,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1991-08-25,.SHX,2,12208,12.208,0.012,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1993-06-23,.shx,2,20204,20.204,0.020,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1993-09-23,.shx,2,164740,164.74,0.165,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1994-09-09,.shx,2,200092,200.092,0.200,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1994-11-10,.shx,2,9866,9.866,0.010,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1995-09-11,.shx,4,27592,27.592,0.028,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1995-11-29,.ttf,2,99208,99.208,0.099,Program or System File,TrueType Font,,,,,
1996-11-19,.shx,2,206,0.206,0.000,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1997-04-03,.fmp,9,2646,2.646,0.003,CAD File (2d or 3d),AutoCAD Font Mapping Table,,,,,
1997-04-04,.fmp,4,1176,1.176,0.001,CAD File (2d or 3d),AutoCAD Font Mapping Table,,,,,
1997-04-11,.shx,2,57440,57.44,0.057,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1997-05-06,.shx,8,150290,150.29,0.150,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1997-09-02,.rsc,1,34999,34.999,0.035,CAD File (2d or 3d),Microstation Resource File,,,,,
1997-12-23,.htm,3,874,0.874,0.001,Text Document,Vector Markup Language,,,,,
1997-12-29,.ssf,3,938,0.938,0.001,Packaged Files,Trimble Standard Storage Format File,,,,,
1998-01-22,.pro,5,13766,13.766,0.014,CAD File (2d or 3d),Pro/ENGINEER CAD Configuration File,,,,,
1998-01-23,.pro,1,2757,2.757,0.003,CAD File (2d or 3d),Pro/ENGINEER CAD Configuration File,,,,,
1998-06-25,.nam,1,7087,7.087,0.007,Program or System File,,,,,,
1998-09-08,.sfi,1,2252,2.252,0.002,Program or System File,,,,,,
1998-09-09,.rose,7,98375,98.375,0.098,CAD File (2d or 3d),Microstation Rose File,,,,,
1998-09-11,.rsc,3,9681,9.681,0.010,CAD File (2d or 3d),Microstation Resource File,,,,,
1998-09-22,.pal,1,32328,32.328,0.032,CAD File (2d or 3d),Microstation Material Palette,,,,,
1998-09-28,.rsc,1,4653,4.653,0.005,CAD File (2d or 3d),Microstation Resource File,,,,,
1998-11-12,.TTF,1,137568,137.568,0.138,Program or System File,TrueType Font,,,,,
1998-11-16,.rose,4,282986,282.986,0.283,CAD File (2d or 3d),Microstation Rose File,,,,,
1998-11-21,.shx,38,922619,922.619,0.923,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
1999-04-05,.tlx,9,73988,73.988,0.074,CAD File (2d or 3d),Microstation Dictionary Language File,,,,,
1999-04-05,.clx,10,5533977,5533.977,5.534,Program or System File,,,,,,
1999-04-05,.utlx,1,17386,17.386,0.017,Program or System File,,,,,,
1999-06-11,.plt,2,11156,11.156,0.011,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
1999-06-21,.tbl,1,1099600,1099.6,1.100,Text Document,Generic Table File,,,,,
1999-07-21,.clx,1,310062,310.062,0.310,Program or System File,,,,,,
1999-07-21,.utlx,1,13334,13.334,0.013,Program or System File,,,,,,
1999-07-22,.rose,1,76895,76.895,0.077,CAD File (2d or 3d),Microstation Rose File,,,,,
1999-08-09,.sfo,3,7860,7.86,0.008,Program or System File,Bitstream font file,,,,,
1999-12-16,.pro,1,6216,6.216,0.006,CAD File (2d or 3d),Pro/ENGINEER CAD Configuration File,,,,,
1999-12-31,.BUP,3,98304,98.304,0.098,Audio/Video,DVD data file and backup data file,,,,,
1999-12-31,.VOB,5,3268691968,3268691.968,3268.692,Audio/Video,Video Object File (MPEG-2 subset),,,,,
1999-12-31,.IFO,3,98304,98.304,0.098,Program or System File,,,,,,
2000-01-02,.BUP,4,126976,126.976,0.127,Audio/Video,DVD data file and backup data file,,,,,
2000-01-02,.VOB,7,4116287488,4116287.488,4116.287,Audio/Video,Video Object File (MPEG-2 subset),,,,,
2000-01-02,.IFO,4,126976,126.976,0.127,Program or System File,,,,,,
2000-02-10,.V7,1,358912,358.912,0.359,CAD File (2d or 3d),Microstation Design File,,,,,
2000-03-08,.shx,3,16602,16.602,0.017,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2000-03-17,.shx,14,118846,118.846,0.119,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2000-03-18,.shx,1,8489,8.489,0.008,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2000-03-30,.shx,3,15954,15.954,0.016,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2000-09-08,.dwg,2,1077132,1077.132,1.077,CAD File (2d or 3d),AutoCAD Drawing,,,,,
2000-10-12,.dwg,3,113539,113.539,0.114,CAD File (2d or 3d),AutoCAD Drawing,,,,,
2001-02-14,.plt,13,84902,84.902,0.085,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-02-19,.shx,4,193222,193.222,0.193,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2001-03-01,.plt,20,106975,106.975,0.107,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-03-22,.DWG,1,18493,18.493,0.018,CAD File (2d or 3d),AutoCAD Drawing,,,,,
2001-04-10,.lin,,,0,0.000,Program or System File,,,,,,
2001-06-04,.plt,2,13109,13.109,0.013,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-06-04,.inc,2,11511,11.511,0.012,Packaged Files,Include Files,,,,,
2001-06-15,.dwg,6,267389,267.389,0.267,CAD File (2d or 3d),AutoCAD Drawing,,,,,
2001-07-03,.jpg,27,2756653,2756.653,2.757,Image,JPEG File Interchange Format,,,,,
2001-07-17,.jpg,5,196523,196.523,0.197,Image,JPEG File Interchange Format,,,,,
2001-07-17,.pal,3,9583,9.583,0.010,CAD File (2d or 3d),Microstation Material Palette,,,,,
2001-08-06,.plt,1,4649,4.649,0.005,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-08-23,.tbl,6,5123,5.123,0.005,Text Document,Generic Table File,,,,,
2001-08-23,.html,1,954,0.954,0.001,Text Document,Hypertext Markup Language ,,,,,
2001-08-23,.ies,1,1357,1.357,0.001,CAD File (2d or 3d),Illuminating Engineering Society Photometric File,,,,,
2001-08-23,.jpg,2,188429,188.429,0.188,Image,JPEG File Interchange Format,,,,,
2001-08-23,.mdb,3,720896,720.896,0.721,Spreadsheet or Database,Microsoft Access Database,,,,,
2001-08-23,.xls,1,14336,14.336,0.014,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2001-08-23,.stg,3,117454,117.454,0.117,CAD File (2d or 3d),Microstation Settings File,,,,,
2001-08-23,.txt,2,5608,5.608,0.006,Text Document,Plain Text File,,,,,
2001-08-23,.tif,1,33256,33.256,0.033,Image,Tagged Image File Format,,,,,
2001-08-23,.ba,4,40892,40.892,0.041,Program or System File,Unknown,,,,,
2001-08-23,.bas,20,116945,116.945,0.117,Program or System File,unk-Visual Basic,,,,,
2001-08-23,.bmp,14,10796,10.796,0.011,Image,Windows Bitmap,,,,,
2001-08-23,.dat,2,5289,5.289,0.005,CAD File (2d or 3d),3D Model for LDraw,,,,,
2001-08-23,.ndx,1,640,0.64,0.001,Program or System File,,,,,,
2001-09-05,.gif,1,46,0.046,0.000,Image,Graphics Interchange Format,,,,,
2001-09-05,.inc,1,9720,9.72,0.010,Packaged Files,Include Files,,,,,
2001-09-06,.plt,4,46682,46.682,0.047,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-09-07,.plt,6,73931,73.931,0.074,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-09-10,.xls,1,561152,561.152,0.561,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2001-09-10,.pal,1,2657,2.657,0.003,CAD File (2d or 3d),Microstation Material Palette,,,,,
2001-09-12,.plt,2,15612,15.612,0.016,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-09-12,.jpg,1,20863,20.863,0.021,Image,JPEG File Interchange Format,,,,,
2001-09-14,.plt,1,7035,7.035,0.007,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-09-26,.gif,1,43,0.043,0.000,Image,Graphics Interchange Format,,,,,
2001-09-26,.pal,4,13250,13.25,0.013,CAD File (2d or 3d),Microstation Material Palette,,,,,
2001-10-03,.jpg,1,109000,109,0.109,Image,JPEG File Interchange Format,,,,,
2001-10-04,.gif,2,19501,19.501,0.020,Image,Graphics Interchange Format,,,,,
2001-10-04,.jpg,1,460,0.46,0.000,Image,JPEG File Interchange Format,,,,,
2001-10-10,.txt,1,942,0.942,0.001,Text Document,Plain Text File,,,,,
2001-10-15,.plt,2,7748,7.748,0.008,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-10-16,.old,1,30720,30.72,0.031,CAD File (2d or 3d),Bentley Parametric Cell File,,,,,
2001-10-16,.cel,1,225792,225.792,0.226,CAD File (2d or 3d),Microstation Block File,,,,,
2001-10-16,.dgn,4,508928,508.928,0.509,CAD File (2d or 3d),Microstation Design File,,,,,
2001-10-16,.bas,1,9330,9.33,0.009,Program or System File,unk-Visual Basic,,,,,
2001-10-17,.jpg,1,5671,5.671,0.006,Image,JPEG File Interchange Format,,,,,
2001-10-17,.htm,1,3143,3.143,0.003,Text Document,Vector Markup Language,,,,,
2001-10-29,.wcm,6,57871,57.871,0.058,Text Document,Corel WordPerfect Macro,,,,,
2001-10-29,.xls,2,253952,253.952,0.254,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2001-10-29,.doc,6,22864,22.864,0.023,Text Document,Microsoft Word Document,,,,,
2001-10-29,.dot,15,368128,368.128,0.368,Text Document,Microsoft Word Document Template,,,,,
2001-10-29,.bxc,1,51200,51.2,0.051,CAD File (2d or 3d),MicroStation J Triforma Compound Cell,,,,,
2001-10-29,.rsc,1,2352,2.352,0.002,CAD File (2d or 3d),Microstation Resource File,,,,,
2001-10-29,.txt,6,1644,1.644,0.002,Text Document,Plain Text File,,,,,
2001-10-29,.tab,4,134144,134.144,0.134,Text Document,Tab Separated Data File,,,,,
2001-10-29,.bxg,2,422,0.422,0.000,CAD File (2d or 3d),Microstation Design File,,,,,
2001-10-29,.spc,2,19651,19.651,0.020,Program or System File,,,,,,
2001-10-29,.stf,3,89633,89.633,0.090,Text Document,,,,,,
2001-10-29,.trs,2,2328,2.328,0.002,Program or System File,,,,,,
2001-10-31,.plt,1,9114,9.114,0.009,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2001-11-06,.jsd,2,65536,65.536,0.066,Program or System File,,,,,,
2001-12-03,.ma,7,86480,86.48,0.086,CAD File (2d or 3d),Maya ASCII File Format,,,,,
2001-12-04,.xml,1,64620,64.62,0.065,Text Document,XML file ,,,,,
2001-12-11,.xml,1,222506,222.506,0.223,Text Document,XML file ,,,,,
2001-12-15,.jpg,3,119403,119.403,0.119,Image,JPEG File Interchange Format,,,,,
2001-12-15,.pal,1,1595,1.595,0.002,CAD File (2d or 3d),Microstation Material Palette,,,,,
2001-12-15,.bxf,7,3039,3.039,0.003,CAD File (2d or 3d),MicroStation Parametric Frame File,,,,,
2001-12-15,.txt,4,1223,1.223,0.001,Text Document,Plain Text File,,,,,
2001-12-15,.xml,1,76767,76.767,0.077,Text Document,XML file ,,,,,
2001-12-15,.cmf,3,3890,3.89,0.004,Program or System File,,,,,,
2001-12-17,.cmf,1,2261,2.261,0.002,Program or System File,,,,,,
2001-12-18,.rsc,1,635097,635.097,0.635,CAD File (2d or 3d),Microstation Resource File,,,,,
2001-12-20,.dll,2,62672,62.672,0.063,Text Document,Dynamic Link Library,,,,,
2001-12-20,.rsc,1,117631,117.631,0.118,CAD File (2d or 3d),Microstation Resource File,,,,,
2002-01-16,.plt,1,17406,17.406,0.017,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2002-02-07,.cel,1,240640,240.64,0.241,CAD File (2d or 3d),Microstation Block File,,,,,
2002-03-04,.jpg,9,109314,109.314,0.109,Image,JPEG File Interchange Format,,,,,
2002-03-07,.lay,1,1806,1.806,0.002,Vector Drawing,Tecplot Layout File,,,,,
2002-03-18,.jpg,1,12567,12.567,0.013,Image,JPEG File Interchange Format,,,,,
2002-03-20,.jpg,1,26257,26.257,0.026,Image,JPEG File Interchange Format,,,,,
2002-03-22,.txt,1,395,0.395,0.000,Text Document,Plain Text File,,,,,
2002-04-08,.shx,3,44343,44.343,0.044,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2002-04-11,.bse,1,2463232,2463.232,2.463,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-04-19,.bse,1,321536,321.536,0.322,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-05-06,.dwg,1,31767,31.767,0.032,CAD File (2d or 3d),AutoCAD Drawing,,,,,
2002-05-06,.xls,1,81920,81.92,0.082,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2002-05-06,.bas,2,1061,1.061,0.001,Program or System File,unk-Visual Basic,,,,,
2002-05-07,.xml,1,231715,231.715,0.232,Text Document,XML file ,,,,,
2002-05-10,.bse,1,294912,294.912,0.295,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-05-17,.sfi,1,2592,2.592,0.003,Program or System File,,,,,,
2002-05-22,.dwg,1,47483,47.483,0.047,CAD File (2d or 3d),AutoCAD Drawing,,,,,
2002-05-29,.SHX,4,66306,66.306,0.066,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2002-06-12,.txt,2,1098,1.098,0.001,Text Document,Plain Text File,,,,,
2002-06-19,.bse,1,270848,270.848,0.271,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-06-26,.shx,1,25969,25.969,0.026,CAD File (2d or 3d),AutoCAD Compiled Shape/Font File,,,,,
2002-06-26,.bse,2,609792,609.792,0.610,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-06-26,.dgn,1,973312,973.312,0.973,CAD File (2d or 3d),Microstation Design File,,,,,
2002-07-10,.plt,1,14971,14.971,0.015,Vector Drawing,Hewlett Packard Vector Graphic Plotter File,,,,,
2002-07-10,.job,1,1768,1.768,0.002,CAD File (2d or 3d),Microstation Batch Print File,,,,,
2002-07-18,.poc,1,488960,488.96,0.489,CAD File (2d or 3d),Microstation Design File,,,,,
2002-07-19,.bse,2,1164800,1164.8,1.165,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-07-19,.dgn,1,10240,10.24,0.010,CAD File (2d or 3d),Microstation Design File,,,,,
2002-07-23,.poc,3,2027520,2027.52,2.028,CAD File (2d or 3d),Microstation Design File,,,,,
2002-07-23,.sel,1,5003,5.003,0.005,Program or System File,,,,,,
2002-07-24,.ctb,1,7267,7.267,0.007,CAD File (2d or 3d),AutoCAD Colour-Dependant Plot Style Table,,,,,
2002-07-24,.poc,2,1359872,1359.872,1.360,CAD File (2d or 3d),Microstation Design File,,,,,
2002-07-25,.dwg,4,81866,81.866,0.082,CAD File (2d or 3d),AutoCAD Drawing,,,,,
2002-08-01,.bse,2,50688,50.688,0.051,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-08-05,.s01,1,7286,7.286,0.007,CAD File (2d or 3d),Microstation CAD Drawing,,,,,
2002-08-07,.dgn,2,899584,899.584,0.900,CAD File (2d or 3d),Microstation Design File,,,,,
2002-08-07,.rsc,1,2144,2.144,0.002,CAD File (2d or 3d),Microstation Resource File,,,,,
2002-08-07,.ba,1,5484,5.484,0.005,Program or System File,Unknown,,,,,
2002-08-08,.dgn,1,1775104,1775.104,1.775,CAD File (2d or 3d),Microstation Design File,,,,,
2002-08-13,.rsc,1,3544,3.544,0.004,CAD File (2d or 3d),Microstation Resource File,,,,,
2002-08-13,.sup,,,0,0.000,Program or System File,,,,,,
2002-08-22,.csv,2,1282,1.282,0.001,Text Document,Comma Separated Values,,,,,
2002-08-22,.xls,3,1162240,1162.24,1.162,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2002-08-22,.dgn,1,72704,72.704,0.073,CAD File (2d or 3d),Microstation Design File,,,,,
2002-08-30,.bse,3,161792,161.792,0.162,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-09-01,.dgn,1,81408,81.408,0.081,CAD File (2d or 3d),Microstation Design File,,,,,
2002-09-01,.pat,6,346387,346.387,0.346,CAD File (2d or 3d),Microstation Pattern File,,,,,
2002-09-01,.bas,1,11075,11.075,0.011,Program or System File,unk-Visual Basic,,,,,
2002-09-03,.csv,1,1927,1.927,0.002,Text Document,Comma Separated Values,,,,,
2002-09-03,.xls,1,383488,383.488,0.383,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2002-09-04,.xls,1,404992,404.992,0.405,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2002-09-06,.bse,1,337920,337.92,0.338,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-09-10,.ini,1,589,0.589,0.001,Program or System File,Text Configuration file,,,,,
2002-09-10,.ba,4,3052,3.052,0.003,Program or System File,Unknown,,,,,
2002-09-11,.bse,2,1167360,1167.36,1.167,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-09-13,.bse,2,1212416,1212.416,1.212,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-09-13,.xml,1,47793,47.793,0.048,Text Document,XML file ,,,,,
2002-09-18,.bse,1,55296,55.296,0.055,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-09-18,.ba,1,1957,1.957,0.002,Program or System File,Unknown,,,,,
2002-09-18,.bas,1,3204,3.204,0.003,Program or System File,unk-Visual Basic,,,,,
2002-09-18,.poc,1,3848704,3848.704,3.849,CAD File (2d or 3d),Microstation Design File,,,,,
2002-09-20,.bse,1,1767424,1767.424,1.767,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-09-26,.bse,4,10154496,10154.496,10.154,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-09-26,.POC,1,3756032,3756.032,3.756,CAD File (2d or 3d),Microstation Design File,,,,,
2002-10-02,.cel,1,270336,270.336,0.270,CAD File (2d or 3d),Microstation Block File,,,,,
2002-10-04,.bse,1,563200,563.2,0.563,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-04,.rsc,1,5428,5.428,0.005,CAD File (2d or 3d),Microstation Resource File,,,,,
2002-10-05,.poc,1,2059776,2059.776,2.060,CAD File (2d or 3d),Microstation Design File,,,,,
2002-10-08,.bse,2,729600,729.6,0.730,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-08,.dgn,2,1946112,1946.112,1.946,CAD File (2d or 3d),Microstation Design File,,,,,
2002-10-09,.bse,1,1366528,1366.528,1.367,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-10,.poc,1,2929152,2929.152,2.929,CAD File (2d or 3d),Microstation Design File,,,,,
2002-10-11,.bse,1,250880,250.88,0.251,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-13,.bse,1,54784,54.784,0.055,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-14,.bse,14,503296,503.296,0.503,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-15,.xls,3,56320,56.32,0.056,Spreadsheet or Database,Microsoft Excel 97 Workbook (xls),,,,,
2002-10-15,.bse,10,376320,376.32,0.376,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-16,.poc,1,581120,581.12,0.581,CAD File (2d or 3d),Microstation Design File,,,,,
2002-10-17,.bse,1,155136,155.136,0.155,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-23,.bse,1,4872704,4872.704,4.873,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-24,.dgn,1,125952,125.952,0.126,CAD File (2d or 3d),Microstation Design File,,,,,
2002-10-24,.xml,3,38843,38.843,0.039,Text Document,XML file ,,,,,
2002-10-28,.bse,1,1130496,1130.496,1.130,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-10-29,.stf,5,895450,895.45,0.895,Text Document,,,,,,
2002-11-04,.bse,1,169472,169.472,0.169,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-11-07,.bse,4,154624,154.624,0.155,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-11-08,.key,1,59,0.059,0.000,Program or System File,,,,,,
2002-11-11,.rof,2,13590,13.59,0.014,Program or System File,,,,,,
2002-11-12,.bse,2,1989632,1989.632,1.990,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-11-13,.stf,1,76426,76.426,0.076,Text Document,,,,,,
2002-11-14,.stf,4,204990,204.99,0.205,Text Document,,,,,,
2002-11-18,.jpg,24,248938,248.938,0.249,Image,JPEG File Interchange Format,,,,,
2002-11-19,.ctb,1,5065,5.065,0.005,CAD File (2d or 3d),AutoCAD Colour-Dependant Plot Style Table,,,,,
2002-11-20,.bse,1,883712,883.712,0.884,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-11-22,.bse,1,3134976,3134.976,3.135,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-11-26,.bse,1,81408,81.408,0.081,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-03,.bse,1,1292800,1292.8,1.293,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-04,.bse,1,4034048,4034.048,4.034,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-05,.dgn,1,17704960,17704.96,17.705,CAD File (2d or 3d),Microstation Design File,,,,,
2002-12-06,.bse,10,5622784,5622.784,5.623,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-07,.BSE,4,2305024,2305.024,2.305,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-07,.poc,1,1189376,1189.376,1.189,CAD File (2d or 3d),Microstation Design File,,,,,
2002-12-10,.bse,3,468480,468.48,0.468,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-10,.dgn,1,43520,43.52,0.044,CAD File (2d or 3d),Microstation Design File,,,,,
2002-12-10,.ba,1,1519,1.519,0.002,Program or System File,Unknown,,,,,
2002-12-10,.bas,1,889,0.889,0.001,Program or System File,unk-Visual Basic,,,,,
2002-12-10,.poc,1,301056,301.056,0.301,CAD File (2d or 3d),Microstation Design File,,,,,
2002-12-11,.jpg,1,8296,8.296,0.008,Image,JPEG File Interchange Format,,,,,
2002-12-12,.bse,5,26835968,26835.968,26.836,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-13,.cel,1,572928,572.928,0.573,CAD File (2d or 3d),Microstation Block File,,,,,
2002-12-13,.bse,1,1730048,1730.048,1.730,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-13,.dgn,4,7607808,7607.808,7.608,CAD File (2d or 3d),Microstation Design File,,,,,
2002-12-13,.poc,2,4780544,4780.544,4.781,CAD File (2d or 3d),Microstation Design File,,,,,
2002-12-14,.bse,1,728064,728.064,0.728,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-16,.dxf,1,3495399,3495.399,3.495,CAD File (2d or 3d),Drawing Interchange File Format (ASCII),,,,,
2002-12-16,.bse,6,6141952,6141.952,6.142,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-17,.jpg,16,9890626,9890.626,9.891,Image,JPEG File Interchange Format,,,,,
2002-12-17,.bse,2,3164672,3164.672,3.165,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-18,.bse,9,14750208,14750.208,14.750,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-18,.dgn,1,79872,79.872,0.080,CAD File (2d or 3d),Microstation Design File,,,,,
2002-12-19,.job,1,5205,5.205,0.005,CAD File (2d or 3d),Microstation Batch Print File,,,,,
2002-12-19,.bse,3,1083904,1083.904,1.084,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-20,.bse,4,7810560,7810.56,7.811,CAD File (2d or 3d),Microstation CAD Drawing Base File,,,,,
2002-12-20,.poc,1,3673600,3673.6,3.674,CAD File (2d or 3d),Microstation Design File,,,,,
